ticker,security_name,gics_sector,gics_sub_industry,headquarters_location,cik,founded,status
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1090872,1999,active
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",320193,1977,active
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",1551152,2013 (1888),active
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",1559720,2008,active
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1800,1888,active
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",947484,1995,active
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373,1989,active
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",796343,1982,active
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",6281,1965,active
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",7084,1902,active
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",8670,1949,active
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",769397,1982,active
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1002910,1902,active
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",4904,1906,active
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761,1981,active
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",4977,1955,active
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",5272,1919,active
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",1267238,1892,active
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",354190,1927,active
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1086222,1998,active
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",915913,1994,active
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",1097149,1997,active
